grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
DEAR0001869,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,869933.0,,"NEW AWARD TO NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY 
CONTROL #:2784-1778 DE-FOA-0002784. DE-FOA-0002784: EXPLORATORY TOPIC H: SUBSURFACE ENGINEERING FOR HYDROGEN RESERVOIR MANAGEMENT (ENGINEERI",False,,,exploration
DEAR0001863,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,345000.0,,"CONTROL #: 2784-1745 NEW AWARD TO NEW MEXICO (LEAD-LOS ALAMOS NATIONAL LABORATORY)
FUNDING OPPORTUNITY ANNOUNCEMENT DE-FOA-0002784: EXPLORATORY TOPIC G: PRODUCTION OF GEOLOGIC HYDROGEN THROUGH STIMULA",False,,,exploration
DEAR0001844,"UMARO FOODS, INC",1960200.0,,"THIS COOPERATIVE AGREEMENT IS AWARDED TO UMARO FOODS INC. FOR A PROJECT ENTITLED ''MARINE BIO-ORE MINING 
OF RARE EARTH ELEMENTS”.
THIS AWARD IS BEING MADE IN ACCORDANCE WITH DE-FOA-0002784: EXPLORATO",False,,rare_earth,exploration
DEAR0001843,UNIVERSITY OF ALASKA FAIRBANKS,1572942.0,,"NEW COMPETITIVE COOPERATIVE AGREEMENT UNIVERSITY OF ALASKA FAIRBANKS.
CONTROL# 2784-1714
FUNDING OPPORTUNITY ANNOUNCEMENT DE-FOA-0002784: EXPLORATORY TOPICS, TOPIC E: ALGAL MINING
PROJECT TITLE: ASSES",False,,critical_minerals,exploration
DEAR0001777,"UNIVERSITY OF CALIFORNIA, DAVIS",2850265.0,,"UC DAVIS. NEW, NON-COMPETITIVE AWARD. FOR A PROJECT TITLED, ''ELECTROCHEMICAL LITHIUM AND NICKEL 
EXTRACTION WITH CONCURRENT CARBON DIOXIDE MINERALIZATION.'' 
UNIVERSITY OF CALIFORNIA DAVIS WILL DEVEL",False,,lithium;nickel,extraction
DEAR0001721,CORNELL UNIVERSITY,915000.0,,"NEW COMPETITIVE AGREEMENT WITH CORNELL UNIVERSITY UNDER FOA DE-FOA-0002707 (MINER) AND CONTROL NUMBER 2707-1502
PROJECT TITLE: ''SUPERCRITICAL CO2 BASED MINING FOR CARBON-NEGATIVE CRITICAL MINERAL REC",False,,critical_minerals,
DEAR0001716,PHOENIX TAILINGS INC,1275000.0,,"PHOENIX TAILINGS, INC.: NEW MINER SBIR/STTR AWARD. 
CONTROL NUMBER: 2708-1515
PROJECT TITLE: CO2 GONE - CO2 GASIFICATION OF ORE FOR NICKEL EXTRACTION 

PHOENIX TAILINGS, INC. PROPOSES TO USE A CARBON-",False,,nickel,extraction;environmental
DEAR0001715,TRAVERTINE TECHNOLOGIES INC,1993226.0,,"TRAVERTINE TECHNOLOGIES, INC., 2708-1505 NEW AWARD DE-FOA-0002708 (SBIR/STTR)
PROJECT TITLE: EX SITU TAILINGS LEACHING AND LATERITIZATION WITH ELECTROLYTIC ACID RECYCLING FOR CRITICAL CONCENTRATION AN",False,,critical_minerals,extraction;recycling;environmental
DEAR0001711,THE JOHNS HOPKINS UNIVERSITY,1760000.0,,"NEW COMPETITIVE AGREEMENT, JOHNS HOPKINS UNIVERSITY, 2707-1550 NEW AWARD DE-FOA-0002707(MINER)
PROJECT TITLE: CARBON-NEGATIVE MINING FROM GANGUE MINERALS ENABLED BY ENERGY-EFFICIENT ELECTROSYNTHESIS O",False,,critical_minerals,
DEAR0001708,UNIVERSITY OF TEXAS AT AUSTIN,4997015.0,,"THE UNIVERSITY OF TEXAS AT AUSTIN: NEW MINER AWARD
CONTROL NO.: 2707-1532 
PROJECT TITLE: CARBON NEGATIVE REACTION-DRIVEN CRACKING FOR ENHANCED MINERAL RECOVERY: IN-SITU TEST AT A NI-CO-PGE DEPOSIT

T",False,,general_mineral,extraction
