Category,Appl_id,FY,Funding_IC,Project_Number,Sub_Project,Project_Title,PI_Name,Org_Name,State_Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Breast Cancer,10733302,2024,NCI,4R37CA234428-06,,Monitoring neoadjuvant chemotherapy of breast cancer using 3D subharmonic aided pressure estimation,"NAM, KIBO",THOMAS JEFFERSON UNIVERSITY,PA,441876,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10737629,2024,NCI,5R01CA236948-05,,SRC-3/PELP1 complexes drive stem-like phenotypes in luminal breast cancer,"LANGE, CAROL",UNIVERSITY OF MINNESOTA,MN,465438,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: stem-like),,,
Breast Cancer,10738275,2024,NCI,5R01CA255705-04,,Genomic Biology of the Tandem Duplicator Phenotype in Mouse and Human Cancers,"LIU, EDISON",JACKSON LABORATORY,ME,668795,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10739405,2024,NCI,1R21CA274600-01A1,,Multicomponent mhealth interventions for healthcare providers and the community to increase cancer screening in India,"SUBRAMANIAN, SUJHA",IMPLENOMICS LLCS,MA,328822,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10740862,2024,NCI,5R01CA247375-05,,CDC7 kinase in normal and cancer cells: potential implications for cancer treatment,"SICINSKI, PETER",DANA-FARBER CANCER INST,MA,442874,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10740874,2024,NCI,5R21CA277460-02,,Tumor-targeted disruption of mismatch repair in microsatellite stable colorectal cancer,"LIEBERMAN, JUDY",BOSTON CHILDREN'S HOSPITAL,MA,196525,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10741817,2024,NCI,5R01CA236864-05,,DELINEATING THE EVOLUTION AND ECOLOGY OF CHEMORESISTANCE IN BREAST CANCER WITH SINGLE CELL GENOMICS,"NAVIN, NICHOLAS",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,352047,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10744191,2024,NCI,5K08CA248725-04,,Supporting Personalized Decision Making for Breast Cancer Screening among Older Women,"RICHMAN, ILANA",YALE UNIVERSITY,CT,256409,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10744194,2024,NCI,5R01CA258778-03,,Targeting tumor-associated macrophages for triple-negative breast cancer treatment,"FENG, MINGYE",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,493611,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10744732,2024,NCI,5R37CA248018-04,,Leveraging the GTP Biosynthetic Pathway for Anti-Tumor Therapies,"BIANCHI-SMIRAGLIA, ANNA",ROSWELL PARK CANCER INSTITUTE CORP,NY,364385,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10744770,2024,NCI,5R01CA247910-04,,Machine learning for risk-adjusted breast MRI screening,"PARRA, LUCAS",CITY COLLEGE OF NEW YORK,NY,629765,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10744786,2024,NCI,5R01CA269816-02,,"Detection, Radiosensitization and Theranostic Targeting of Metastatic Breast Cancer by PTPmu","BRADY-KALNAY, SUSANN",CASE WESTERN RESERVE UNIVERSITY,OH,634738,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10744790,2024,NCI,5R01CA270332-02,,Investigating the Genesis of Tumor Immune Microenvironment (TIME) as a function of Inflammation,"BARCELLOS-HOFF, MARY","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,484830,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10744803,2024,NCI,5P30CA014089-48,8684,Cancer Epidemiology,"SETIAWAN, VERONICA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,73302,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10744804,2024,NCI,5P30CA014089-48,8685,Cancer Control Research,"COCKBURN, MYLES",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,73302,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10744807,2024,NCI,5P30CA014089-48,8687,Genomic and Epigenomic Regulation,"DOU, YALI",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,73302,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: genomic),,,
Breast Cancer,10745268,2024,NCI,5R01CA255960-03,,Targeting STAT3 for the Treatment of CDK4/6 Inhibitor Resistant Advanced Estrogen Receptor Positive Breast Cancer Patients,"KEYOMARSI, KHANDAN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,563903,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745297,2024,NCI,5R01CA248306-04,,Mechanism of LSD1 in breast cancer metastasis suppression,"LI, ZHE",BRIGHAM AND WOMEN'S HOSPITAL,MA,361522,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745317,2024,NCI,5K00CA253768-06,,Sex Differences in Blood-Brain and Blood-Tumor Barrier Dynamics in Glioblastoma,"SPROWLS, SAMUEL",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,60518,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745331,2024,NCI,5R03CA270486-02,,Targeting CXCL10 Chemokine Signaling in Breast Cancer Metastasis,"KIM, SUWON",UNIVERSITY OF ARIZONA,AZ,76750,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745669,2024,NCI,5K08CA267309-03,,"The Development and Evaluation of a Community-Based, Early Palliative Care Intervention for Black Women with Metastatic Breast Cancer","MAZOR, MELISSA",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,193123,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745706,2024,NCI,5R01CA258898-03,,Contrast Enhanced Mammography (CEM) to Reduce Biopsy Rates for Less Than Highly Suspicious Breast Abnormalities: a Prospective Study,"ZULEY, MARGARITA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,452223,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10745726,2024,NCI,5R01CA210440-08,,"Mechanistic Links Between Changing Estrogen Profiles, Inflammation and the Increased Risk and Metastasis of Breast Cancer in Obese Women","SLINGERLAND, JOYCE",GEORGETOWN UNIVERSITY,DC,395178,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745737,2024,NCI,5R21CA277311-02,,Patient-Centered Insights from the POWER Trial: Pre-Operative Window of Adjuvant Endocrine Therapy to Inform Radiation Therapy Decisions in Older Women with Early-Stage Breast Cancer,"SHOWALTER, SHAYNA",UNIVERSITY OF VIRGINIA,VA,175328,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10745913,2024,NCI,5R01CA246678-05,,Fluorescence-guided resection of breast tumors using a topically-applied molecular probe,"BASILION, JAMES",CASE WESTERN RESERVE UNIVERSITY,OH,409926,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10745914,2024,NCI,5R01CA197774-09,,Regulation of DNA synthesis in response to DNA damage,"CICCIA, ALBERTO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,384750,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746093,2024,NCI,5R01CA255442-04,,Strategy for combining circulating tumor DNA (ctDNA) and magnetic resonance imaging (MRI) measures of tumor burden for prediction of response and outcome in neoadjuvant-treated early breast cancer,"VAN'T VEER, LAURA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,636712,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746408,2024,NCI,5R01CA258807-03,,Quantitative volumetric ultrasonic and photoacoustic tomography,"FERRARA, KATHERINE",STANFORD UNIVERSITY,CA,620341,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746442,2024,NIBIB,5R01EB028792-04,,Perioperative Diffuse Optical Imaging of Tissue Blood Flow and Oxygenation for Optimization of Mastectomy Skin Flap Viability,"YU, GUOQIANG",UNIVERSITY OF KENTUCKY,KY,480597,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746452,2024,NCI,5R01CA276540-02,,Mathematical modeling and molecular imaging to maximize response while minimizing toxicities from systemic therapies in preclinical models of breast cancer,"SORACE, ANNA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,442688,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10746794,2024,NCI,5R01CA238273-05,,Synergistic Targeted Therapy of Antibody-Drug Conjugates for Triple-Negative Breast Cancer,"LIU, RUNHUA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,462863,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
