Category,Appl_id,FY,Funding_IC,Project_Number,Sub_Project,Project_Title,PI_Name,Org_Name,State_Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Breast Cancer,10794284,2024,NCI,5R01CA237066-05,,Targeting of tumor cell DHHC3 to enhance anti-cancer immunity,"HEMLER, MARTIN",DANA-FARBER CANCER INST,MA,380201,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10794286,2024,NCI,5R37CA251216-04,,Targeting Serine Auxotrophy in Luminal Breast Cancer,"COLOFF, JONATHAN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,341706,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10794344,2024,NIBIB,5R01EB024989-06,,Detection of Emergent Mechanical Properties of Biologically Complex Cellular States,"SOHN, LYDIA",UNIVERSITY OF CALIFORNIA BERKELEY,CA,596672,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10794658,2024,NCI,1R15CA280818-01A1,,FBXL16 as a novel factor in promoting endocrine therapy resistance and metastasis of ER+ breast cancer,"LONG, WEIWEN",WRIGHT STATE UNIVERSITY,OH,450000,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10794789,2024,NCI,1R15CA287338-01,,Investigating the Roles of Pregnane X Receptor in Human Breast Cancers,"CREAMER, BRADLEY",KANSAS CITY UNIVERSITY,MO,420000,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10794953,2024,NCI,5F30CA268764-02,,The Role of Endothelial ACKR1 in Triple-Negative Breast Cancer Metastasis,"ROACH, SAMUEL",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,53974,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795007,2024,NCI,5R01CA258451-04,,Tumor Endothelial Cell Regulation of Pro-Metastatic Fibrin Matrices,"PECOT, CHAD",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,551095,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795097,2024,NCI,5R01CA257563-04,,An integrated polymeric carrier for subunit cancer vaccines,"PUN, SUZIE",UNIVERSITY OF WASHINGTON,WA,499661,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10795128,2024,NCI,1R15CA287244-01,,Solid Phase Microextraction as a New Tool for Quantifying Antibody Drugs in Breast Cancer and Building PK-PD models,"MUSTEATA, FLORIN",ALBANY COLLEGE OF PHARMACY,NY,480000,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10795153,2024,NCI,1K99CA286891-01,,A multi-omics approach to evaluate the role of chronic inflammation in breast cancer development,"ROMANOS-NANCLARES, ANDREA",BRIGHAM AND WOMEN'S HOSPITAL,MA,168890,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795658,2024,NCI,5R01CA260357-05,,Role of LSD1 in Triple Negative Breast Cancer Development and Therapeutic Response,"HUANG, YI",UNIVERSITY OF IOWA,IA,332124,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795659,2024,NCI,5R01CA259037-03,,Tuning PARP-1 retention and release on DNA breaks,"BLACK, BEN",UNIVERSITY OF PENNSYLVANIA,PA,540155,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795820,2024,NCI,5R01CA248068-05,,Identifying effective risk-based supplemental ultrasound screening strategies for women with dense breasts,"SPRAGUE, BRIAN",UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,VT,707023,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10795843,2024,NCI,5R01CA270136-03,,Examining PHGDH-mediated activation of sialic acid metabolism to drive triple-negative breast cancer metastasis,"LUNT, SOPHIA",MICHIGAN STATE UNIVERSITY,MI,383868,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10795892,2024,NCI,5R01CA268179-03,,Functional interplay between Hippo and estrogen receptor ESR1,"YANG, JING","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,412680,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796117,2024,NCI,1R01CA279546-01A1,,Causes and Consequences of Whole Genome Duplication in Cancer Progression and Acquired Drug Resistance,"REGOT, SERGI",JOHNS HOPKINS UNIVERSITY,MD,478340,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796188,2024,NCI,1K99CA286969-01,,Breaching the Tumor-Immune Mechanical Barrier for Optimal Antitumor Immunity,"WU, BOGANG",MASSACHUSETTS GENERAL HOSPITAL,MA,176040,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796317,2024,NCI,1K99CA286967-01,,Influence of Social Determinants of Health and Epigenomics on Psychological Symptom Cluster Severity,"HARRIS, CAROLYN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,161556,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10796769,2024,NCI,5R01CA237046-05,,Improving Patient-Centered Communication in Breast Cancer: A RCT of a Shared Decision Engagement System (ShaDES),"HAWLEY, SARAH",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,461084,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10796844,2024,NCI,5R01CA265004-03,,Defining the contributions of Lyve-1 expressing macrophages to breast cancer growth and progression,"SCHWERTFEGER, KATHRYN",UNIVERSITY OF MINNESOTA,MN,393956,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10796866,2024,NHGRI,5R01HG012262-03,,Rational Integration of Polygenic Risk Scores (RIPS),"PETERSON, JOSEPH",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,903936,Strictly_Genetic,Genetic risk/hereditary focus,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796928,2024,NCI,5R01CA262160-03,,Role of O-GlcNAc-ylation on tumor progression,"SHEVDE, LALITA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,154171,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796929,2024,NCI,5R01CA255382-04,,De-implementation of Mammography Overuse in Older Racially and Ethnically Diverse Women,"TEHRANIFAR, PARISA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,482122,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10796945,2024,NCI,5R01CA245301-04,,Regulation of collagen linearization during cancer progression and metastasis,"LABELLE, MYRIAM",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,390077,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796963,2024,NCI,5R01CA272489-02,,Methodologic Innovations in Cancer Epidemiology,"ROSNER, BERNARD",BRIGHAM AND WOMEN'S HOSPITAL,MA,425063,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10796973,2024,NCI,5K00CA253731-05,,Targeting Oncogenic Drivers in Cancer,"BOUDREAU, MATTHEW",DANA-FARBER CANCER INST,MA,93150,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10796992,2024,NCI,5R01CA255153-04,,THE EFFECT OF TUMOR MICROENVIRONMENT ON METASTASIS,"OKTAY, MAJA",ALBERT EINSTEIN COLLEGE OF MEDICINE,NY,480062,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10797117,2024,NCI,2R01CA132878-11A1,,Post-translational Modifications in DNA Damage Response: a Structural Perspective,"MER, GEORGES",MAYO CLINIC ROCHESTER,MN,403500,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: DNA damage),,,
Breast Cancer,10798108,2024,NCI,5S06GM142120-03,8334,Developing and evaluating scalable and culturally relevant interventions to improve breast cancer screening among White Mountain Apache women,"BARLOW, MARY",WHITE MOUNTAIN APACHE TRIBE,AZ,104988,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798108,2024,NIAID,5S06GM142120-03,8334,Developing and evaluating scalable and culturally relevant interventions to improve breast cancer screening among White Mountain Apache women,"BARLOW, MARY",WHITE MOUNTAIN APACHE TRIBE,AZ,85693,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798108,2024,NIDA,5S06GM142120-03,8334,Developing and evaluating scalable and culturally relevant interventions to improve breast cancer screening among White Mountain Apache women,"BARLOW, MARY",WHITE MOUNTAIN APACHE TRIBE,AZ,70204,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798108,2024,NIGMS,5S06GM142120-03,8334,Developing and evaluating scalable and culturally relevant interventions to improve breast cancer screening among White Mountain Apache women,"BARLOW, MARY",WHITE MOUNTAIN APACHE TRIBE,AZ,23958,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798148,2024,NCI,5R01CA247362-05,,RB tumor suppressor as a therapeutic target in ER-positive breast cancer,"KNUDSEN, ERIK",ROSWELL PARK CANCER INSTITUTE CORP,NY,408055,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10798170,2024,NIBIB,5F32EB034589-02,,Multiparametric Tissue Characterization for Breast Cancer Screening Using Transmission and Reflection Ultrasound Tomography,"ALI, REHMAN",UNIVERSITY OF ROCHESTER,NY,74284,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798225,2024,NCI,5UG1CA233339-06,,Washington University/Siteman Cancer Center Lead Academic Site,"BARTLETT, NANCY",WASHINGTON UNIVERSITY,MO,1241704,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798252,2024,NCI,5F30CA264513-04,,Elucidating the Role of C16orf72 in the Cellular Stress Response Network,"AMICI, DAVID",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,53974,Mechanistic_Pathogenesis,Reclassified - Studies molecular function/role,,Mechanistic_and_Genetic,,,,
Breast Cancer,10798275,2024,NCI,5R01CA275074-02,,Evaluation of novel tomosynthesis density measures in breast cancer risk prediction,"VACHON, CELINE",MAYO CLINIC ROCHESTER,MN,637516,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798287,2024,NCI,5R01CA237533-05,,"Extending the Diversity, Reach, and Generalizability of the WISDOM Study","ESSERMAN, LAURA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,1741554,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10798295,2024,NCI,5R01CA270018-02,,Deciphering the Acidic Tumor Environment: A Phase I/IIa Study of Pre-Operative Multiparametric MRI and pHLIP® ICG Intra-Operative Fluorescence Imaging of Primary Breast Cancer,"MORROW, MONICA",SLOAN-KETTERING INST CAN RESEARCH,NY,642556,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10799151,2024,NCI,4R37CA235602-06,,Targeting RANK Pathway in Mammographic Density and Primary Breast Cancer Prevention,"TORIOLA, ADETUNJI",WASHINGTON UNIVERSITY,MO,569887,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799226,2024,NIBIB,1R21EB035375-01,,Imaging of macrophage trafficking with ultrasound,"ARVANITIS, KONSTANTINOS-COSTAS",GEORGIA INSTITUTE OF TECHNOLOGY,GA,365523,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799553,2024,NCI,5R01CA238519-06,,Estrogen and glucocorticoid receptor crosstalk in ER+ breast,"CONZEN, SUZANNE",UT SOUTHWESTERN MEDICAL CENTER,TX,373151,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10799598,2024,NIAID,5R01AI158488-04,,CDK4/6 inhibition during CD8 T cell priming potentiates memory formation in mice and humans,"DOUGAN, STEPHANIE",DANA-FARBER CANCER INST,MA,445000,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10799642,2024,NCI,5D43CA260646-03,,Expanding cancer research capacity in Nigeria with team science,"KINGHAM, T",SLOAN-KETTERING INST CAN RESEARCH,NY,269094,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799659,2024,NICHD,5R01HD096152-05,,Mammary Adipocyte Remodeling in Health and Disease,"WANG, QIONG",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,333749,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799667,2024,NCI,5R01CA249178-04,,A novel therapeutic strategy to eradicate breast cancer through Hsp90 inhibition and reduced immune tolerance,"CHADLI, AHMED",AUGUSTA UNIVERSITY,GA,334662,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799694,2024,NCI,5R01CA272940-02,,Tissue engineering tools for monitoring the cellular and molecular response to therapy,"SHEA, LONNIE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,498230,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799710,2024,NCI,5R01CA237600-05,,Combined Methylation and Mutation to Predict Response to PARP Inhibitors,"SWISHER, ELIZABETH",UNIVERSITY OF WASHINGTON,WA,475615,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10799717,2024,NHGRI,5R00HG012223-03,,Multi-ethnic risk prediction for complex human diseases integrating multi-source genetic and non-genetic information,"JIN, JIN",UNIVERSITY OF PENNSYLVANIA,PA,242203,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10799771,2024,NCI,2R01CA097098-20A1,,Targeting the MUC1-C Oncoprotein in Triple-Negative Breast Cancer,"KUFE, DONALD",DANA-FARBER CANCER INST,MA,466587,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10799847,2024,NCI,1R01CA266216-01A1,,Induction of interferon response by chromatin damaging anti-cancer therapy,"GUROVA, KATERINA",ROSWELL PARK CANCER INSTITUTE CORP,NY,396881,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10800095,2024,NCI,1R01CA278818-01A1,,Defining Cancer Intervention Targets by Functional Genomics Analysis of Outbred F1 Mice,"JACOB, JENNIFER",WAYNE STATE UNIVERSITY,MI,569763,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10800768,2024,NCI,5R01CA279408-02,,A novel breast cancer therapy based on secreted protein ligands from CD36+ fibroblasts,"PARVIN, BAHRAM",UNIVERSITY OF NEVADA RENO,NV,409700,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10800772,2024,NCI,7R21CA270712-02,,Targeting breast cancer microenvironment with small molecule agonist of relaxin receptor,"AGOULNIK, IRINA",UNIVERSITY OF SOUTH FLORIDA,FL,199856,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10801018,2024,NCI,1R01CA275910-01A1,,MIZ1 Activation in Triple-negative Breast Cancer Racial Disparities,"SCHIEMANN, WILLIAM",CASE WESTERN RESERVE UNIVERSITY,OH,617723,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10801508,2024,NCI,1R01CA279145-01A1,,SPECTRUM (Studying PRIDE to Enhance Cancer screening guidelines for TRansgender Users of gender-affirMing hormones),"HOUGHTON, LAUREN",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,694771,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10802082,2024,NCI,1R01CA279117-01A1,,Interrogating Type I Interferon signaling in breast cancer brain metastasis,"CHEN, QING",WISTAR INSTITUTE,PA,529002,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10802186,2024,NCI,5R01CA257647-04,,Viscotaxis: Novel cell migration mechanisms regulated by microenvironmental viscosity,"KONSTANTOPOULOS, KONSTANTINOS",JOHNS HOPKINS UNIVERSITY,MD,438793,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10802338,2024,NCI,5R01CA240955-05,,Gasdermin E and pyroptosis in cancer,"LIEBERMAN, JUDY",BOSTON CHILDREN'S HOSPITAL,MA,478863,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: pyroptosis),,,
Breast Cancer,10802413,2024,NCI,5R21CA280814-02,,Intraoperative Imaging for Lymph Node Metastases,"YAMADA, TOHRU",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,213048,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10803036,2024,NCI,1R01CA279810-01A1,,Cold-responsive gene and drug delivery-potentiated cryoimmunotherapy,"HE, XIAOMING","UNIV OF MARYLAND, COLLEGE PARK",MD,429350,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10803047,2024,NCI,1R01CA279971-01A1,,Biomarkers For BRCA1-Deficient Cancers,"KONG, KIMI",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,436807,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10803125,2024,NCI,1R01CA276408-01A1,,Dissemination of a breast reconstruction decision tool through social media and online communities,"LEE, CLARA",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,576993,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10803169,2024,NCI,1R37CA277541-01A1,,Developing PARP-1 PET with companion tissue assay as a precision tool to guide PARPi therapy,"MCDONALD, ELIZABETH",UNIVERSITY OF PENNSYLVANIA,PA,522486,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10803494,2024,NCI,2R01CA068682-30,,Biomedical Applications of Expanded Porphyrins,"SESSLER, JONATHAN",UNIVERSITY OF TEXAS AT AUSTIN,TX,384208,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10803593,2024,NCI,1R01CA276053-01A1,,Novel proteasome inhibitors targeting both beta5 and beta2 subunits for treatment of triple negative breast cancer,"LIN, GANG",WEILL MEDICAL COLL OF CORNELL UNIV,NY,661147,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10803677,2024,NCI,1U01CA278865-01A1,,The impact of oxygen exposure on clinical biomarkers - an underrecognized source of pre-analytic variability,"NAKSHATRI, HARIKRISHNA",INDIANA UNIVERSITY INDIANAPOLIS,IN,355980,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10803947,2024,NCI,1R01CA280194-01A1,,"Modulating growth, progression and metastasis in breast cancer by inhibiting MDA-9","FISHER, PAUL",VIRGINIA COMMONWEALTH UNIVERSITY,VA,622329,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10804145,2024,NCI,1R01CA274251-01A1,,Investigating the Molecular Determinants Driving Response and Resistance to HDAC6 Targeted Therapy in Breast Cancer,"SILVA, JOSE",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,586431,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10804155,2024,NCI,1R01CA279948-01A1,,Engineered biomimetic collective cancer invasion models for screening chemotherapeutic agents,"AHN, EUN HYUN",JOHNS HOPKINS UNIVERSITY,MD,443191,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10804479,2024,NICHD,1R01HD109322-01A1,,Roles of BRCA2 in Mammalian Meiosis and Gamete Quality,"HUNTER, NEIL",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,680386,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: meiosis),,,
Breast Cancer,10804600,2024,NCI,5F31CA271673-02,,Quantifying replication dynamics to predict clonal evolution and drug sensitivity in cancer cells using single-cell whole genome sequencing,"WEINER, ADAM",WEILL MEDICAL COLL OF CORNELL UNIV,NY,48974,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10804601,2024,NCI,5R37CA248665-05,,A Randomized Trial to Minimize Non-Response to Aerobic Training in Operable Breast Cancer,"SCOTT, JESSICA",SLOAN-KETTERING INST CAN RESEARCH,NY,620371,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10804635,2024,NIBIB,5R01EB032533-03,,Enhanced Biomechanical Modeling of the Breast for Womens Health,"BROCK, KRISTY",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,627302,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10804659,2024,NCI,5R21CA273983-02,,Engineering Siglec15/TGF-beta targeted bispecific antibodies that modulate the tumor microenvironment and enhances T-cell immunotherapy against pancreatic cancer,"LAI, SAMUEL",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,169563,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10804721,2024,NCI,5U01CA225566-05,,Nuclear Dysfunction in Cancer: The Role of Mechanical Stresses Transmittedby the LINC Complex,"LELE, TANMAY",TEXAS ENGINEERING EXPERIMENT STATION,TX,569658,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10805382,2024,NCI,5R01CA263491-02,,Hawaii Pacific Islands Mammography Registry,"SHEPHERD, JOHN",UNIVERSITY OF HAWAII AT MANOA,HI,618819,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10805403,2024,NCI,5R01CA253865-04,,Nanoparticle delivery of miRNA-based therapeutics to overcome clinical challenges in triple negative breast cancer,"WANG, ZHIHUI",METHODIST HOSPITAL RESEARCH INSTITUTE,TX,378124,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10805488,2024,NIBIB,5R21EB032993-03,,Self-collimating Single Photon Emission Breast Tomography System with Three-Dimensional Sparse Position-Sensitive Detectors,"YAO, RUTAO",STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,160833,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10805494,2024,NCI,5K08CA252639-04,,Can a subset of patients with HER2+ metastatic breast cancer be cured?,"PARSONS, HEATHER",DANA-FARBER CANCER INST,MA,258561,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10805528,2024,NCI,5R01CA248304-05,,Normalizing arginine metabolism with sepiaptein for immunostimulatory-shift ofHER2+ breast cancer,"FURUTA, SAORI",CASE WESTERN RESERVE UNIVERSITY,OH,349874,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10806128,2024,NCI,5R01CA258274-04,,Engineering tissue inhibitor of metalloproteinases-2 (TIMP-2) for triple negative breast cancer therapy,"RADISKY, EVETTE",MAYO CLINIC  JACKSONVILLE,FL,306368,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10806137,2024,NCI,5R01CA258717-04,,Breast Cancer PARP PET Imaging AIP to Support FDA Approval & Commercialization,"MANKOFF, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,538137,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10806157,2024,NIGMS,5R35GM145307-03,,Intrinsic and extrinsic control of epithelial tissue stem cell activity,"DAI, XING",UNIVERSITY OF CALIFORNIA-IRVINE,CA,431750,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10806200,2024,NCI,5R01CA272564-02,,Hypoxia-activated probiotic agents for breast cancer,"YAMADA, TOHRU",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,346342,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10806219,2024,NIBIB,5R01EB032321-03,,Biocompatible triarylmethyl radical-based dendrimers as nonmetallic contrast agents for MRI,"DRIESSCHAERT, BENOIT",WEST VIRGINIA UNIVERSITY,WV,363893,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10806227,2024,NCI,5R01CA271056-02,,Mechanisms and therapeutic targeting of osteoimmune functions of RANKL in breast cancer,"PONNAZHAGAN, SELVARANGAN",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,396834,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10806951,2024,NCI,5R01CA271437-03,,ERa is a novel RNA-binding protein controlling breast cancer,"RUGGERO, DAVIDE","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,448158,Everything_else,"Clinical, behavioral, or other research",,Mechanistic_and_Genetic,Moved from Everything_else (matched: RNA-binding),,,
Breast Cancer,10807038,2024,NCI,5R21CA273739-02,,Drug combination nanoparticles for advanced treatment of metastatic TNBC,"MU, QINGXIN",UNIVERSITY OF WASHINGTON,WA,168413,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10807046,2024,NCI,5R01CA281024-02,,Functions of BRD8 in HR+/HER2+ breast cancer,"XU, WEI",UNIVERSITY OF WISCONSIN-MADISON,WI,398093,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10807818,2024,NCI,1R01CA280482-01A1,,Cell cycle paths as a framework for understanding drug resistance in tumor cell subpopulations,"PURVIS, JEREMY",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,617314,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10808059,2024,NCI,5R01CA262213-02,,Stem cell-derived exosomes to ameliorate chemobrain,"ACHARYA, MUNJAL",UNIVERSITY OF CALIFORNIA-IRVINE,CA,341181,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
