Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10857034,2024,NIMHD,5U54MD015929-05,6612,Multifunctional Nanoplatforms-Based Capture and identification of Circulating Tumor Biomarkers for  Early Diagnosis of Lung Cancer,"RAY, PARESH",JACKSON STATE UNIVERSITY,MS,188748,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10857052,2024,NCI,1R37CA289419-01,,Targeting the Mitochondria to Overcome Resistance to Immune Checkpoint Inhibition in Malignant Pleural Mesothelioma,"RIPLEY, ROBERT",BAYLOR COLLEGE OF MEDICINE,TX,660954,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10857205,2024,NCI,5K00CA264162-04,,Understanding the impact that tumor representative oxygen tension has on phosphotyrosine-dependent signaling networks in solid tumors,"MAYRO, BENJAMIN",UT SOUTHWESTERN MEDICAL CENTER,TX,92113,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10857290,2024,NCI,5K08CA245249-05,,Intratumoral Administration of CCL21-gene Modified Dendritic Cell With Intravenous Pembrolizumab for Advanced NSCLC,"LISBERG, AARON",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,257099,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10857356,2024,NCI,5R01CA235667-06,,A phase I/II combination immunotherapy clinical trial: mesothelin-targeted chimeric antigen receptor T cells and checkpoint blockade agent in pleural mesothelioma,"ADUSUMILLI, PRASAD",SLOAN-KETTERING INST CAN RESEARCH,NY,690978,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Everything_else,,Moved from Mechanistic to Everything_else,,
Lung Cancer,10857745,2024,NCI,1U01CA289226-01,,The Opioid Cohort Consortium (OPICO) to investigate the effects of using opioids on cancer risk,"SHEIKH, MAHDI",INTERNATIONAL AGENCY FOR RES ON CANCER,FR,586334,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10858748,2024,NCI,1R01CA289500-01,,Overcoming Therapy Resistance in SCLC,"AKBAY, ESRA",UT SOUTHWESTERN MEDICAL CENTER,TX,500308,Mechanistic_Pathogenesis,Therapy resistance mechanism in SCLC,,Mechanistic_and_Genetic,,,,
Lung Cancer,10859325,2024,NCI,1R37CA288492-01,,Structural Racism and Cardiovascular Outcomes Among Cancer Survivors,"PINHEIRO, LAURA",WEILL MEDICAL COLL OF CORNELL UNIV,NY,594823,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10859708,2024,NCI,1R37CA284040-01A1,,Examining the Impact of Structural Racism on African American Non-Small Cell Lung Cancer Mutational Signatures and Outcomes,"ERHUNMWUNSEE, LORETTA",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,1027816,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure and genetic terms (gene–environment interaction),Other,Everything_else,,Moved from Environmental to Clinical (Behavioral/Lifestyle),Behavioral/Lifestyle,
Lung Cancer,10859982,2024,NCI,1R01CA290004-01,,Biology and vulnerabilities of POU2F3+ tuft cell-like carcinomas,"VAKOC, CHRISTOPHER",COLD SPRING HARBOR LABORATORY,NY,668427,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10860512,2024,NCI,1R01CA290182-01,,Mechanical Stress and Lung Tumor Progression,"WEISS, JEFFREY",UNIVERSITY OF UTAH,UT,554133,Mechanistic_Pathogenesis,Mechanical stress tumor progression mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10860784,2024,NCI,1R01CA290173-01,,Novel strategies to improve mesothelioma therapy,"YANG, HAINING",UNIVERSITY OF HAWAII AT MANOA,HI,539493,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10860952,2024,NCI,5R01CA266619-03,,Genome-wide mutational integration for ultra-sensitive plasma tumor burden monitoring in immunotherapy,"LANDAU, DAN",WEILL MEDICAL COLL OF CORNELL UNIV,NY,609073,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
Lung Cancer,10860980,2024,NCI,5R01CA269235-03,,Clinical translation of a PD-L1 PET tracer to optimize immune checkpoint therapy in patients with non-small cell lung cancers,"NIMMAGADDA, SRIDHAR",JOHNS HOPKINS UNIVERSITY,MD,635583,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10861081,2024,NCI,5U01CA276642-02,,Chronic Exposure to House Dust Mites: A New Risk Factor for Lung Cancer in Never Smokers,"RAZ, EYAL","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,588218,Strictly_Environmental_or_Gene-Environment,House dust mite exposure - environmental risk factor,Other,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10861803,2024,NCI,5P01CA257906-03,6381,Project 1: Glutaminolytic GDH1 activation-dependent immunotherapy resistance in LKB1-mutant lung adenocarcinoma,"KANG, SUMIN",EMORY UNIVERSITY,GA,399749,Mechanistic_Pathogenesis,GDH1 immunotherapy resistance mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10861806,2024,NCI,5P01CA257906-03,6382,Project 2: Reversing STING-mediated immunosuppression in LKB1-mutant lung adenocarcinoma,"FU, HAIAN",EMORY UNIVERSITY,GA,415518,Mechanistic_Pathogenesis,STING immunosuppression mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10861807,2024,NCI,5P01CA257906-03,6383,Project 3: Inhibiting FAK to enhance immune checkpoint inhibitor therapy in LKB1-mutant lung adenocarcinoma,"MARCUS, ADAM",EMORY UNIVERSITY,GA,540114,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10861809,2024,NCI,5P01CA257906-03,6384,Core 1:  Administration,"FU, HAIAN",EMORY UNIVERSITY,GA,148750,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10861811,2024,NCI,5P01CA257906-03,6385,Core 2,"DHODAPKAR, KAVITA",EMORY UNIVERSITY,GA,362923,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
