Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10542357,2024,NCI,5R01CA255326-03,,Early Detection and Diagnosis of Lung Cancer with Endomicroscopy,"SUTER, MELISSA",MASSACHUSETTS GENERAL HOSPITAL,MA,597127,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10549858,2024,NCI,5K08CA256044-04,,The ontogeny and function of CD8 T cells in lung cancer,"SCHENKEL, JASON",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,208026,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10570549,2024,NCI,1K22CA276255-01,,Enhancing motivation to quit smoking via self-help intervention targeted to cancer type: A pilot RCT,"MARTINEZ PRADEDA, URSULA",UNIVERSITY OF UTAH,UT,194398,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Everything_else,Moved from Environmental to Everything_else (intervention study),,,
Lung Cancer,10571351,2024,NCI,1K22CA276357-01,,Targeted degradation of KRAS oncoproteins triggers antitumor immunity and abolishes lung tumor,"ZHANG, HUA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,189756,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10594049,2024,NCI,5R01CA247917-03,,Platelet Serine/Threonine Phosphatases in Cancer Pathophysiology,"VIJAYAN, K. VINOD",BAYLOR COLLEGE OF MEDICINE,TX,399554,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10612793,2024,NCI,5R01CA239093-05,,Discovery and therapeutic targeting of biological determinants of lung cancer health disparities,"PINE, SHARON",UNIVERSITY OF COLORADO DENVER,CO,441169,Mechanistic_Pathogenesis,Biological determinants - molecular mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10629451,2024,NCI,5R01CA243142-05,,Regulation of tumor recurrence by stress activated neutrophils,"ZHANG, RUGANG",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,489730,Mechanistic_Pathogenesis,Immune signaling/tumor microenvironment mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10647438,2024,NCI,3F30CA254120-04S1,,Investigation of heterogeneity in cancer cell proliferation - COVID extension request,"TORBORG, STEFAN",WEILL MEDICAL COLL OF CORNELL UNIV,NY,32974,Mechanistic_Pathogenesis,Cancer cell proliferation heterogeneity mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10655276,2024,NCI,5R01CA256724-02,,The interplay of social and molecular determinants in lung cancer disparity,"SINGH, SHAILESH",MOREHOUSE SCHOOL OF MEDICINE,GA,559834,Mechanistic_Pathogenesis,Molecular determinants - mechanistic study,,Mechanistic_and_Genetic,,,,
Lung Cancer,10656275,2024,NCI,5R01CA255226-04,,Imaging the multifaceted response to a bispecific antibody therapy,"MARQUEZ-NOSTRA, BERNADETTE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,29864,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Mechanistic_and_Genetic,Moved from Everything_else (matched: antibody),,,
Lung Cancer,10656497,2024,NCI,5R01CA254734-03,,Precision Lung Cancer Survivorship Care Intervention: A Randomized Controlled Trial Serving Rural Survivors and Communities,"STUDTS, JAMIE",UNIVERSITY OF COLORADO DENVER,CO,571997,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10684226,2024,NCI,5U01CA253383-04,,Understanding the molecular mechanism of a protein-recycling complex in small cell lung cancer treatment resistance.,"LOK, BENJAMIN",UNIVERSITY HEALTH NETWORK,CANADA,276338,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10689010,2024,NCI,5R01CA249506-04,,Personalized screening for lung cancer: the importance of co-existing chronic conditions to clinical practice and policy,"BRAITHWAITE, DEJANA",UNIVERSITY OF FLORIDA,FL,608786,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10693958,2024,NCI,5R01CA255434-03,,Lung Functional Avoidance Radiotherapy Using Hyperpolarized Xenon MRI,"RUSET, IULIAN","XEMED, LLC",NH,674175,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10732732,2024,NCI,4R37CA234006-06,,Novel Nanomedicine-Based Therapeutic Approach For Treatment of Cancer Cachexia,"TARATULA, OLEH",OREGON STATE UNIVERSITY,OR,438608,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10732773,2024,NCI,5R01CA243328-06,,Tumor-specific autoantibodies for SCLC early detection,"HOUGHTON, A",FRED HUTCHINSON CANCER CENTER,WA,406116,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10738755,2024,NCI,5R01CA247992-04,,Targeting ferroptosis in radioresistance in lung cancer: mechanisms and preclinical translation,"GAN, BOYI",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,373639,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10739321,2024,NCI,5R01CA236781-05,,Regulation of lung cancer growth and metastasis by an actionable driver of vesicle biogenesis in the Golgi,"KURIE, JONATHAN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,421158,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10740839,2024,NCI,5R01CA225439-05,,Tribally Engaged Approaches to Lung Screening (TEALS),"NAGYKALDI, ZSOLT",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,406763,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10740870,2024,NCI,5R01CA277133-02,,Accelerating biomarker development through novel statistical methods for analyzing phase III/IV studies,"HUANG, YING",FRED HUTCHINSON CANCER CENTER,WA,381633,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10740886,2024,NCI,5R01CA248896-04,,Response and resistance to SHP2 inhibitors alone and in combination in Non-Small Cell Lung Cancer,"NEEL, BENJAMIN",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,666956,Mechanistic_Pathogenesis,SHP2 signaling pathway mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10741791,2024,NCI,5R37CA260062-03,,Deciphering the Role of Reductive Stress in Non Small Cell Lung Cancer,"BAR-PELED, LIRON",MASSACHUSETTS GENERAL HOSPITAL,MA,365086,Mechanistic_Pathogenesis,Cellular/metabolic stress mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10741833,2024,NIEHS,5R01ES032787-04,,Dysregulations of functional RNA modifications and hexavalent chromium lungcarcinogenesis,"YANG, CHENGFENG",STATE UNIVERSITY NEW YORK STONY BROOK,NY,411955,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure and genetic terms (gene–environment interaction),Chemicals,Environmental,,Updated Environmental subgroup to Chemicals,,
Lung Cancer,10744764,2024,NCI,5R01CA081301-25,,Metabolism of Carcinogenic Tobacco-Specific Nitrosamines,"HECHT, STEPHEN",UNIVERSITY OF MINNESOTA,MN,498794,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10744804,2024,NCI,5P30CA014089-48,8685,Cancer Control Research,"COCKBURN, MYLES",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,73302,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10744809,2024,NCI,5P30CA014089-48,8689,Community Outreach and Engagement,"BAEZCONDE-GARBANATI, LOURDES",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,370230,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10744810,2024,NCI,5P30CA014089-48,8690,"Leadership, Planning and Evaluation","LERMAN, CARYN",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,895353,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Other,Everything_else,,Moved from Environmental to Clinical (Other),Other,
Lung Cancer,10745269,2024,NCI,5K22CA251636-02,,The HDAC3 pathway in LKB1-mutant lung cancer and senescence,"EICHNER, LILLIAN",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,191052,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10745273,2024,NCI,5R01CA234183-05,,Therapeutic strategies against EGFR exon 20 mutant lung cancer,"HEYMACH, JOHN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,529607,Mechanistic_Pathogenesis,EGFR exon 20 mutation mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10745319,2024,NCI,5R01CA233671-05,,Role of METTL3 and the m6A Epitranscriptome in cancer,"GREGORY, RICHARD",BOSTON CHILDREN'S HOSPITAL,MA,610370,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10745910,2024,NCI,5R01CA262619-03,,Identifying the Impact of SETD2 Inactivation in Lung Adenocarcinoma,"FELDSER, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,410628,Mechanistic_Pathogenesis,SETD2 epigenetic modifier mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10745929,2024,NCI,5R01CA250534-04,,Identifying and Targeting Mechanisms for Membrane Signaling in Human Cancer,"SWEET-CORDERO, ERIC","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,526562,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10746066,2024,NIMHD,5R01MD014859-05,,Elucidating Lung Cancer Etiology Among Asian American Female Never Smokers,"GOMEZ, SCARLETT","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,628649,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10746774,2024,NCI,5R01CA259845-03,,Fatty acid metabolism regulates ferroptosis in mutant KRAS lung cancer,"SCAGLIONI, PIER",UNIVERSITY OF CINCINNATI,OH,381935,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10746779,2024,NCI,5R01CA258997-03,,Biomarkers of Response to Immuno-chemotherapy & oliGometastatic Hypofractionated radioTherapy (BRIGHT) for Lung Cancer: Synergy of PET/CT Imaging and Peripheral Blood Assays,"BOWEN, STEPHEN",UNIVERSITY OF WASHINGTON,WA,577989,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10746849,2024,NCI,5R01CA276031-02,,Mechanisms of cancer mutations,"PFEIFER, GERD",VAN ANDEL RESEARCH INSTITUTE,MI,458421,Mechanistic_Pathogenesis,Mechanisms of cancer mutations,,Mechanistic_and_Genetic,,,,
Lung Cancer,10746855,2024,NCI,5R01CA270240-02,,Proteostasis Reprogramming in Mutant KRAS-Driven Cancers,"CHEN, XI",BAYLOR COLLEGE OF MEDICINE,TX,489610,Mechanistic_Pathogenesis,Proteostasis/protein homeostasis mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10746884,2024,NCI,4R00CA249048-03,,A pro-metastatic secretory program activated by epithelial-to-mesenchymal transition,"XIAO, GUAN-YU",UNIVERSITY OF KENTUCKY,KY,249000,Mechanistic_Pathogenesis,EMT epithelial-mesenchymal transition mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10747309,2024,NCI,5R01CA258887-03,,Discovery of small molecule inhibitors for protein N-terminal acetyltransferase D,"HUANG, RONG",PURDUE UNIVERSITY,IN,496475,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10747402,2024,NCI,5K08CA259161-03,,Uncovering Epigenetic and Transcriptional Drivers of Neuroendocrine Plasticity at Single-Cell Level in Patients with Small Cell Lung Cancer Transformation,"CHAN, JOSEPH",SLOAN-KETTERING INST CAN RESEARCH,NY,197198,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10747841,2024,NCI,5R01CA231952-06,,Partnering with a State Food Bank to Provide Tobacco Treatment to Underserved Smokers,"VIDRINE, DAMON",H. LEE MOFFITT CANCER CTR & RES INST,FL,530773,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Everything_else,Moved from Environmental to Everything_else (intervention study),,,
Lung Cancer,10747846,2024,NIEHS,5R01ES031002-05,,Indirect Genotoxicity in Metal Carcinogenesis,"ZHITKOVICH, ANATOLY",BROWN UNIVERSITY,RI,365625,Strictly_Environmental_or_Gene-Environment,Metal carcinogenesis is environmental exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10747923,2024,NCI,5R01CA237235-05,,Mechanisms of BAP1 activity in human cancer development,"CARBONE, MICHELE",UNIVERSITY OF HAWAII AT MANOA,HI,422917,Mechanistic_Pathogenesis,BAP1 protein activity mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10747947,2024,NCI,5P30CA023108-45,9140,Cancer Population Sciences (CPS),"CHRISTENSEN, BROCK",DARTMOUTH COLLEGE,NH,72343,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10747983,2024,NCI,5R21CA277103-02,,Dissecting pemetrexed resistance in non-small cell lung carcinoma,"KANG, SUMIN",EMORY UNIVERSITY,GA,208517,Mechanistic_Pathogenesis,Drug resistance mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10749039,2024,NCI,5R37CA269990-02,,Mechanisms by which LSD1 Promotes Neuroendocrine Differentiation and Small Cell Lung Cancer,"OSER, MATTHEW",DANA-FARBER CANCER INST,MA,436924,Mechanistic_Pathogenesis,LSD1 epigenetic modifier mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10749880,2024,NCI,5R01CA166376-10,,A NOVEL LINEAGE SPECIFIC METASTASIS PATHWAY IN LUNG CANCER,"NGUYEN, DON",YALE UNIVERSITY,CT,377922,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10749894,2024,NCI,5R01CA268440-03,,High Throughput Screen for Inhibitors of the YEATS2 Histone Acylation Reader,"SHI, XIAOBING",VAN ANDEL RESEARCH INSTITUTE,MI,412895,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10749899,2024,NCI,5R37CA266549-03,,Understanding intrinsic resistance to direct KRAS inhibition in colorectal cancers,"GORDAN, JOHN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,498202,Mechanistic_Pathogenesis,KRAS inhibition resistance mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10750994,2024,NCI,5R01CA269764-02,,An innovative integrated computational framework using gene signatures for patient stratification,"CHENG, CHAO",BAYLOR COLLEGE OF MEDICINE,TX,428162,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
Lung Cancer,10752631,2024,NCI,5R01CA258352-03,,Comparative-Effectiveness of Pretreatment Lung Cancer Nodal Staging,"FARJAH, FARHOOD",UNIVERSITY OF WASHINGTON,WA,569699,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10752662,2024,NCI,5R21CA267283-02,,Developing GRB2-PROTACs for Treatment of Lung Cancer,"JI, HAITAO",H. LEE MOFFITT CANCER CTR & RES INST,FL,187087,Mechanistic_Pathogenesis,PROTAC protein degradation mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10752666,2024,NIEHS,5R21ES034811-02,,ALKBH5 and nickel-induced lung carcinogenesis,"SUN, HONG",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,211875,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure and genetic terms (gene–environment interaction),Chemicals,Environmental,,Updated Environmental subgroup to Chemicals,,
Lung Cancer,10752695,2024,NCI,5R01CA276074-02,,Screening for inhibitors of NSD3 as a treatment for lung cancer,"GREMBECKA, JOLANTA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,486735,Mechanistic_Pathogenesis,NSD3 epigenetic modifier mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10753503,2024,NCI,5R01CA248288-04,,Relating Molecular Subgroups of Endometriosis-Associated Ovarian Cancers to Survival and Risk,"GOODE, ELLEN",MAYO CLINIC ROCHESTER,MN,940822,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10753520,2024,NCI,5R21CA275978-02,,Exercise and Lung Cancer,"PERRY, RACHEL",YALE UNIVERSITY,CT,212031,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10753528,2024,NCI,5R01CA270454-03,,SCH: Smart EHR Data Analytics to Enhance Cancer Care Multiteam Systems,"MA, KWAN-LIU",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,259666,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10754250,2024,NCI,5R01CA249863-04,,Identification of Genes and DNA Methylation Markers for Lung Cancer Risk by Integrating Multi-omics Data,"CAI, QIUYIN",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,646885,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10754265,2024,NCI,5K00CA245819-05,,Investigating Immune Responses to Neoantigen Cancer Vaccines using In Vivo Functionalized Lineage,"ROBLES-OTEIZA, CAMILA",DANA-FARBER CANCER INST,MA,96390,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10754969,2024,NCI,5R01CA271500-02,,Establishing a mechanistic basis for enhanced tumorigenesis under chronic circadian disruption,"LAMIA, KATJA","SCRIPPS RESEARCH INSTITUTE, THE",CA,556033,Strictly_Environmental_or_Gene-Environment,Circadian disruption is lifestyle/environmental exposure,Diet_Obesity_Nutrition,Mechanistic_and_Genetic,,Moved from Environmental to Mechanistic (Other),,Other
Lung Cancer,10755260,2024,NCI,5R01CA201049-09,,Discovery and optimization of novel mutant-selective allosteric inhibitors of EGFR T790M,"ECK, MICHAEL",DANA-FARBER CANCER INST,MA,466022,Mechanistic_Pathogenesis,EGFR T790M allosteric inhibitor mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10755334,2024,NCI,5R01CA270116-02,,Targeting plasticity in lung cancer,"TAMMELA, TUOMAS",SLOAN-KETTERING INST CAN RESEARCH,NY,582097,Mechanistic_Pathogenesis,Cellular plasticity mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10755351,2024,NCI,5R01CA131261-12,,"Studying the initiation, progression and therapy of lung cancer in mouse models","MCMAHON, MARTIN",UNIVERSITY OF UTAH,UT,365750,Mechanistic_Pathogenesis,Tumor initiation and progression mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10755626,2024,NIMHD,5R01MD014862-05,,Comprehensive molecular characterization of lung cancers in five racial/ethnic groups with disparate risk,"PARK, SUNGSHIM",UNIVERSITY OF HAWAII AT MANOA,HI,434691,Mechanistic_Pathogenesis,Comprehensive molecular characterization,,Mechanistic_and_Genetic,,,,
Lung Cancer,10755703,2024,NCI,5R01CA249096-04,,New Statistical Methods for Modelling Cancer Outcomes,"LI, YI",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,325366,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10755727,2024,NCI,5R01CA271540-02,,Tumor-barcoding coupled with high-throughput sequencing for quantitative radiogenomics of the abscopal response in NSCLC,"TRAN, PHUOC",UNIVERSITY OF MARYLAND BALTIMORE,MD,494498,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
Lung Cancer,10755737,2024,NCI,5R01CA269223-02,,Gene-tobacco carcinogen interactions and lung cancer risk - a novel approach for precision cancer prevention,"LAZARUS, PHILIP",WASHINGTON STATE UNIVERSITY,WA,605270,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure and genetic terms (gene–environment interaction),Smoking,Strictly_Environmental_or_Gene-Environment,,,,
Lung Cancer,10755743,2024,NCI,5R01CA249538-05,,Nonlinear performance analysis and prediction for robust low dose lung CT,"GANG, JIANAN",UNIVERSITY OF PENNSYLVANIA,PA,485340,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10756072,2024,NIDCD,5R01DC018850-04,,"Repurposing an FDA approved Drug, B-Raf Kinase Inhibitor Dabrafenib for Protection from Cisplatin- and Noise- induced Hearing Loss","TEITZ, TAL",CREIGHTON UNIVERSITY,NE,1,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10756144,2024,NCI,5R37CA249305-05,,The role of NFIB-MAST1 signaling in mediating adaptive cisplatin resistance in SCLC,"JIN, LINGTAO",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,336246,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10757333,2024,NCI,5R01CA175495-11,,The B7x pathways in the tumor microenvironment,"ZANG, XINGXING",ALBERT EINSTEIN COLLEGE OF MEDICINE,NY,379050,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10757349,2024,NCI,5R01CA204302-08,,Characterization of YAP as a rational companion target in lung cancer,"BIVONA, TREVER","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,364384,Mechanistic_Pathogenesis,YAP signaling pathway mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10757444,2024,NIEHS,5R21ES034905-02,,Evaluating the effects of hexavalent chromium on uterine vascular remodeling,"BANU, SAKHILA",TEXAS A&M AGRILIFE RESEARCH,TX,190625,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Chemicals,Environmental,,Updated Environmental subgroup to Chemicals,,
Lung Cancer,10757447,2024,NCI,5R01CA270149-02,,Targeting lysine acetyltransferase MOF/KAT8 in lung cancer,"SETO, EDWARD",GEORGE WASHINGTON UNIVERSITY,DC,352948,Mechanistic_Pathogenesis,KAT8/MOF epigenetic modifier mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10758233,2024,NCI,5P30CA022453-42,8819,Population Studies and Disparities Research,"BEEBE-DIMMER, JENNIFER",WAYNE STATE UNIVERSITY,MI,51442,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10758277,2024,NCI,5R01CA212415-07,,Transcriptional Regulation of Lung Cancer Identity,"SNYDER, ERIC",UNIVERSITY OF UTAH,UT,365750,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10758594,2024,NCI,5R21CA267971-02,,Novel inhibitors of oncogenic p53 mutants for lung cancer therapy.,"DEB, SWATI",VIRGINIA COMMONWEALTH UNIVERSITY,VA,172376,Mechanistic_Pathogenesis,p53 mutant protein mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10758784,2024,NIMHD,5R01MD014839-04,,Reducing racial disparities in lung cancer outcomes by decoding neighborhood contextual environment (RECODE),"KIM, SAGE",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,603011,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10763893,2024,NCI,5K99CA277245-02,,Reducing Lung Cancer Risk among Appalachian Women Using Community‐Engaged Intervention Research,"THOMPSON, JESSICA",UNIVERSITY OF KENTUCKY,KY,103941,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10764912,2024,NCI,5K99CA277135-02,,Developing and evaluating a decision support tool to disseminate tobacco control research and inform policy implementation,"SMITH, NATALIE",HARVARD SCHOOL OF PUBLIC HEALTH,MA,126971,Everything_else,Reclassified: Intervention/Administrative,,Everything_else,,,,
Lung Cancer,10766149,2024,NCI,5P30CA044579-33,6554,CPH - Project,"LI, LI",UNIVERSITY OF VIRGINIA,VA,31646,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10767336,2024,NCI,5R01CA278229-02,,Implementing a Scalable Smoke-free Home Intervention in Armenia and Georgia,"BERG, CARLA",GEORGE WASHINGTON UNIVERSITY,DC,515131,Strictly_Environmental_or_Gene-Environment,Smoke-free home intervention - environmental,Smoking,Everything_else,Moved from Environmental to Everything_else (intervention study),,,
Lung Cancer,10767510,2024,NCI,1P01CA272239-01A1,6773,Project 2,"BEEBE-DIMMER, JENNIFER",WAYNE STATE UNIVERSITY,MI,208829,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10767723,2024,NCI,2P30CA072720-25,6847,Cancer Prevention and Control,"BANDERA, ELISA",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,9429,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10767725,2024,NCI,2P30CA072720-25,6849,Clinical Investigation and Precision Therapy,"GANESAN, SHRIDAR",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,9429,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10767833,2024,NCI,5P30CA016086-48,6876,Cancer Prevention and Control Research Program,"BASCH, ETHAN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,41356,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10768145,2024,NCI,2P30CA077598-26,6968,Carcinogenesis and Chemoprevention,"PETERSON, LISA",UNIVERSITY OF MINNESOTA,MN,34636,Strictly_Genetic,Contains genetic terms only (no mechanistic or exposure content),,Mechanistic_and_Genetic,,,,
Lung Cancer,10768149,2024,NCI,2P30CA077598-26,6972,"Screening, Prevention, Etiology, and Cancer Survivorship","NELSON, HEATHER",UNIVERSITY OF MINNESOTA,MN,34260,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10768690,2024,NCI,5P30CA006516-59,7162,Program 34: Lung Cancer,"JOHNSON, BRUCE",DANA-FARBER CANCER INST,MA,40758,Everything_else,"Does not fit other categories; likely clinical, care, or administrative",,Everything_else,,,,
Lung Cancer,10768976,2024,NCI,1P01CA275746-01A1,7292,"Project 2: Integrating race, ethnicity, and genomic ancestry across GENIE to understand genetic and environmental contributions to pan-cancer risk, prognosis, and outcomes","ZHANG, JIAN",SLOAN-KETTERING INST CAN RESEARCH,NY,472108,Strictly_Environmental_or_Gene-Environment,Genetic AND environmental contributions to cancer risk,Other,Strictly_Environmental_or_Gene-Environment,,,,
